TableName,Columns
DataStudio_ServiceTree_ServiceMetadata_Snapshot,"[""; ChangeVersion; Id; ServiceId; ServiceLevel; ServiceName; Type; Value; IsComplex; AzureCloud; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_FeatureToSku_Snapshot,"[""; ProductSkuId; FeatureId""]"
ServiceTreePpe_OfferingToService_Snapshot,"[""; OfferingId; ServiceId""]"
ServiceTreePpe_Offering_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; Name; Description; Tags; Comments; CustomerType; Category; Venue; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Authorization_Snapshot,"[""; Id; ChangeVersion; Role; Scope; IdentityType; IdentityName; Expiry; Description; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_Variant_Snapshot,"[""; Id; Status; Name; InternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_ServiceDependency_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; DownstreamServiceInternalId; UpstreamServiceInternalId; Type; InboundDependency; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_FeatureValue_Snapshot,"[""; Id; Status; Value; FeatureInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_ProductSkuMetadata_Snapshot,"[""; Id; Status; MetadataDefinitionInternalId; Value; AzureCloud; Created; CreatedBy; Modified; ModifiedBy; ProductSkuId""]"
ServiceTreePpe_ProductSkuToService_Snapshot,"[""; PurchasableId; ServiceId""]"
ServiceTreePpe_FeatureToService_Snapshot,"[""; VariantValueId; ServiceId""]"
ServiceTreePpe_ProductSku_Snapshot,"[""; PurchasableId; ProductSkuId; Sku; Name; OfferingInternalId; EntityState; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_Feature_Snapshot,"[""; VariantValueId; OId; Value; VariantId; EntityState; Created; CreatedBy; Modified; ModifiedBy; PurchasableId""]"
ServiceTree_OfferingMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; AzureCloud; OfferingInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_FeatureToSku_Snapshot,"[""; ProductSkuId; FeatureId""]"
ServiceTree_AzureSubscriptionAllInternal_Snapshot,"[""; Id; BillingAccountId; SubscriptionId; AzureCloudId; Info; AccountOwner; SubscriptionRegisteredBy; SubscriptionStatus; Created; Modified; NewOwners; LastNotified; ReconciliationStatus; Comment; ModifiedBy; ExecutiveOrganization; ServiceBusETag""]"
ServiceTreePpe_Authorization_Snapshot,"[""; Id; ChangeVersion; Role; Scope; IdentityType; IdentityName; Expiry; Description; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_ServiceDependency_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; DownstreamServiceInternalId; UpstreamServiceInternalId; Type; InboundDependency; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTreePpe_OfferingMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; AzureCloud; OfferingInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Temp_EntraTenantServiceBusError,"[""; TenantId; STModifiedAt; Version; EnqueuedTime; Error; MessageId; Message; RetryCount""]"
DataStudio_ServiceTree_PCCodeHierarchy_Snapshot,"[""; PCCode; PCDesc; CostCategory; NodeLevel; Node; Level; Name; Id; CompanyId; CompanyName; DivisionId; DivisionName; OrganizationId; OrganizationName; ServiceGroupId; ServiceGroupName; TeamGroupId; TeamGroupName; ExecOrgSummaryDescAndCode; ExecOrgDescAndCode; OrgDetailDescAndCode; FuncSummaryDescAndCode; FuncDescAndCode; FuncDetailDescAndCode""]"
ServiceTreePpe_Temp_EntraTenantServiceBusError,"[""; TenantId; STModifiedAt; Version; EnqueuedTime; Error; MessageId; Message; RetryCount""]"
ServiceTree_MetadataDefinition_Snapshot,"[""; InternalId; ChangeVersion; Id; Status; IsComplex; IsMultipleAllowed; IsPerCloud; Discriminator; Type; Permission; Tags; JsonSchema; OwningServiceInternalId; Created; CreatedBy; Modified; ModifiedBy; IsValueUnique; DisplayOrder; AllowEmptyValue; IsServiceDeleteBlocker; DeprovisioningWiki; DeprovisioningContactAlias; ApplicableLevel; AuthorizedRoles""]"
ZTempDso_20250304_ServiceTree_ServiceMetadata_Snapshot_BigObject_1f0175134c6a4821aabb1fc74cfd4a76,"[""; Id; ChangeVersion; Status; Value; AzureCloud; ServiceInternalId; MetadataDefinitionInternalId; ProvisioningStatusInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_Endpoint_Snapshot,"[""; Id; ChangeVersion; Status; Address; ComponentInternalId; AzureCloud; Environment; Created; CreatedBy; Modified; ModifiedBy""]"
ServiceTree_OrganizationMetadata_Snapshot,"[""; Id; ChangeVersion; Status; Value; OrganizationInternalId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
ZTempDso_20250304_ServiceTree_AzureSubscriptionMetadata_Snapshot_780a62391d9f421d86ed6f9691cbd47e,"[""; Id; ChangeVersion; Status; Value; SubscriptionId; MetadataDefinitionInternalId; Created; CreatedBy; Modified; ModifiedBy""]"
